Distance = Start -> End (as the crow flies)

0.000000 = Goodale parking lot -> Goodale parking lot
1.490494 = Goodale parking lot -> High & 11th
1.823102 = Goodale parking lot -> High & 15th
0.926215 = Goodale parking lot -> High & 5th
0.192444 = Goodale parking lot -> High & Goodale
1.138512 = Goodale parking lot -> High & King
2.102836 = Goodale parking lot -> High & Woodruff
1.795942 = Goodale parking lot -> I-71 11th offramp
2.201594 = Goodale parking lot -> I-71 17th offramp
1.421742 = Goodale parking lot -> I-71 5th offramp
2.318052 = Goodale parking lot -> Lane & Tuttle
0.104042 = Goodale parking lot -> Park & Goodale
0.182408 = Goodale parking lot -> Park & Vine
1.540280 = Goodale parking lot -> SR-315 & King
2.604670 = Goodale parking lot -> SR-315 & Lane
0.821519 = Goodale parking lot -> SR-315 I-670 offramp
1.819541 = Goodale parking lot -> US-23 & 15th
1.952906 = Goodale parking lot -> US-23 & 17th
0.437328 = Goodale parking lot -> US-23 & Goodale
2.172212 = Goodale parking lot -> Woodruff & Tuttle
1.490494 = High & 11th -> Goodale parking lot
0.000000 = High & 11th -> High & 11th
0.334860 = High & 11th -> High & 15th
0.571753 = High & 11th -> High & 5th
1.498901 = High & 11th -> High & Goodale
0.355917 = High & 11th -> High & King
0.615992 = High & 11th -> High & Woodruff
1.164867 = High & 11th -> I-71 11th offramp
1.258823 = High & 11th -> I-71 17th offramp
1.313106 = High & 11th -> I-71 5th offramp
0.919484 = High & 11th -> Lane & Tuttle
1.503302 = High & 11th -> Park & Goodale
1.650653 = High & 11th -> Park & Vine
1.000790 = High & 11th -> SR-315 & King
1.474974 = High & 11th -> SR-315 & Lane
1.437969 = High & 11th -> SR-315 I-670 offramp
0.439896 = High & 11th -> US-23 & 15th
0.613155 = High & 11th -> US-23 & 17th
1.528659 = High & 11th -> US-23 & Goodale
0.814921 = High & 11th -> Woodruff & Tuttle
1.823102 = High & 15th -> Goodale parking lot
0.334860 = High & 15th -> High & 11th
0.000000 = High & 15th -> High & 15th
0.906613 = High & 15th -> High & 5th
1.833761 = High & 15th -> High & Goodale
0.690778 = High & 15th -> High & King
0.281133 = High & 15th -> High & Woodruff
1.283388 = High & 15th -> I-71 11th offramp
1.252423 = High & 15th -> I-71 17th offramp
1.537279 = High & 15th -> I-71 5th offramp
0.633317 = High & 15th -> Lane & Tuttle
1.837679 = High & 15th -> Park & Goodale
1.984778 = High & 15th -> Park & Vine
1.104991 = High & 15th -> SR-315 & King
1.284355 = High & 15th -> SR-315 & Lane
1.708493 = High & 15th -> SR-315 I-670 offramp
0.365549 = High & 15th -> US-23 & 15th
0.506284 = High & 15th -> US-23 & 17th
1.859953 = High & 15th -> US-23 & Goodale
0.567434 = High & 15th -> Woodruff & Tuttle
0.926215 = High & 5th -> Goodale parking lot
0.571753 = High & 5th -> High & 11th
0.906613 = High & 5th -> High & 15th
0.000000 = High & 5th -> High & 5th
0.927149 = High & 5th -> High & Goodale
0.215839 = High & 5th -> High & King
1.187744 = High & 5th -> High & Woodruff
1.175269 = High & 5th -> I-71 11th offramp
1.460137 = High & 5th -> I-71 17th offramp
1.073738 = High & 5th -> I-71 5th offramp
1.456719 = High & 5th -> Lane & Tuttle
0.933115 = High & 5th -> Park & Goodale
1.081141 = High & 5th -> Park & Vine
1.069598 = High & 5th -> SR-315 & King
1.894879 = High & 5th -> SR-315 & Lane
1.063763 = High & 5th -> SR-315 I-670 offramp
0.902531 = High & 5th -> US-23 & 15th
1.048440 = High & 5th -> US-23 & 17th
0.968842 = High & 5th -> US-23 & Goodale
1.328918 = High & 5th -> Woodruff & Tuttle
0.192444 = High & Goodale -> Goodale parking lot
1.498901 = High & Goodale -> High & 11th
1.833761 = High & Goodale -> High & 15th
0.927149 = High & Goodale -> High & 5th
0.000000 = High & Goodale -> High & Goodale
1.142984 = High & Goodale -> High & King
2.114893 = High & Goodale -> High & Woodruff
1.674981 = High & Goodale -> I-71 11th offramp
2.098563 = High & Goodale -> I-71 17th offramp
1.269502 = High & Goodale -> I-71 5th offramp
2.362945 = High & Goodale -> Lane & Tuttle
0.089750 = High & Goodale -> Park & Goodale
0.190332 = High & Goodale -> Park & Vine
1.664030 = High & Goodale -> SR-315 & King
2.698089 = High & Goodale -> SR-315 & Lane
1.003584 = High & Goodale -> SR-315 I-670 offramp
1.791599 = High & Goodale -> US-23 & 15th
1.913007 = High & Goodale -> US-23 & 17th
0.245127 = High & Goodale -> US-23 & Goodale
2.223632 = High & Goodale -> Woodruff & Tuttle
1.138512 = High & King -> Goodale parking lot
0.355917 = High & King -> High & 11th
0.690778 = High & King -> High & 15th
0.215839 = High & King -> High & 5th
1.142984 = High & King -> High & Goodale
0.000000 = High & King -> High & King
0.971910 = High & King -> High & Woodruff
1.137143 = High & King -> I-71 11th offramp
1.358746 = High & King -> I-71 17th offramp
1.135682 = High & King -> I-71 5th offramp
1.250621 = High & King -> Lane & Tuttle
1.148250 = High & King -> Park & Goodale
1.295987 = High & King -> Park & Vine
